"Data are from N. Ohta, ""The Basis of Color Reproduction Engineering (Japanese)"", published by Corona-sha Co of Japan in 1997",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"patch key at right -->",,,"Macbeth Color Checker Patches",,,,,,,,,,,,,,,,,,,,
"wavelength",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,"Patch Numbers"
685,0.25,0.67,0.1,0.15,0.5,0.24,0.62,0.12,0.6,0.27,0.36,0.69,0.04,0.08,0.72,0.79,0.79,0.07,0.89,0.57,0.34,0.19,0.09,0.03,,
690,0.26,0.68,0.1,0.17,0.51,0.24,0.62,0.12,0.61,0.28,0.37,0.69,0.05,0.08,0.72,0.79,0.8,0.07,0.89,0.57,0.34,0.19,0.09,0.03,,
695,0.27,0.7,0.1,0.21,0.52,0.25,0.63,0.12,0.61,0.3,0.38,0.69,0.05,0.09,0.73,0.79,0.8,0.07,0.89,0.57,0.34,0.19,0.09,0.03,,
700,0.28,0.71,0.1,0.25,0.52,0.25,0.63,0.12,0.61,0.32,0.38,0.7,0.05,0.09,0.73,0.79,0.8,0.07,0.89,0.57,0.34,0.19,0.09,0.03,,
705,0.29,0.73,0.1,0.28,0.52,0.25,0.63,0.12,0.6,0.34,0.38,0.7,0.05,0.09,0.73,0.79,0.81,0.07,0.89,0.57,0.34,0.19,0.09,0.03,,
710,0.31,0.75,0.1,0.31,0.52,0.25,0.63,0.12,0.6,0.36,0.38,0.7,0.05,0.09,0.73,0.79,0.81,0.07,0.89,0.57,0.34,0.19,0.09,0.03,,
715,0.32,0.75,0.1,0.33,0.52,0.25,0.63,0.12,0.6,0.37,0.38,0.7,0.05,0.09,0.73,0.79,0.81,0.07,0.89,0.57,0.34,0.19,0.09,0.03,,
720,0.33,0.76,0.1,0.34,0.52,0.24,0.63,0.13,0.6,0.39,0.37,0.7,0.06,0.09,0.73,0.79,0.81,0.08,0.89,0.56,0.34,0.19,0.09,0.03,,
725,0.35,0.77,0.1,0.35,0.52,0.25,0.64,0.13,0.6,0.41,0.37,0.7,0.06,0.09,0.73,0.79,0.81,0.08,0.89,0.56,0.34,0.19,0.09,0.03,,
730,0.37,0.78,0.1,0.36,0.52,0.25,0.64,0.14,0.6,0.42,0.38,0.7,0.06,0.09,0.73,0.79,0.81,0.08,0.89,0.56,0.34,0.19,0.09,0.03,,
735,0.39,0.79,0.1,0.36,0.52,0.25,0.64,0.15,0.6,0.44,0.38,0.7,0.07,0.09,0.73,0.79,0.81,0.09,0.89,0.56,0.33,0.19,0.09,0.03,,
740,0.41,0.79,0.1,0.36,0.52,0.26,0.64,0.16,0.59,0.45,0.39,0.7,0.08,0.09,0.73,0.79,0.81,0.1,0.88,0.56,0.33,0.19,0.09,0.03,,
745,0.42,0.79,0.1,0.36,0.52,0.27,0.63,0.18,0.59,0.46,0.4,0.7,0.09,0.1,0.72,0.78,0.81,0.12,0.88,0.56,0.33,0.19,0.08,0.03,,
750,0.44,0.79,0.1,0.36,0.51,0.28,0.63,0.2,0.58,0.47,0.41,0.69,0.1,0.1,0.72,0.78,0.81,0.13,0.88,0.56,0.33,0.19,0.08,0.03,,
755,0.45,0.79,0.11,0.36,0.51,0.29,0.64,0.22,0.58,0.48,0.42,0.7,0.12,0.11,0.72,0.78,0.81,0.15,0.88,0.56,0.33,0.19,0.08,0.03,,
760,0.46,0.8,0.11,0.37,0.52,0.3,0.64,0.24,0.59,0.49,0.43,0.7,0.14,0.11,0.73,0.78,0.81,0.18,0.88,0.56,0.33,0.19,0.08,0.03,,
765,0.47,0.8,0.11,0.37,0.52,0.3,0.64,0.26,0.58,0.5,0.44,0.7,0.15,0.11,0.73,0.78,0.81,0.19,0.88,0.55,0.33,0.19,0.08,0.03,,
770,0.45,0.77,0.11,0.36,0.5,0.3,0.62,0.28,0.57,0.48,0.43,0.67,0.17,0.11,0.7,0.75,0.79,0.2,0.88,0.55,0.33,0.18,0.08,0.03,,
775,0.43,0.75,0.12,0.35,0.49,0.3,0.6,0.29,0.55,0.47,0.41,0.65,0.19,0.11,0.68,0.73,0.77,0.21,0.88,0.55,0.33,0.18,0.08,0.03,,
780,0.42,0.73,0.12,0.34,0.49,0.3,0.58,0.32,0.54,0.47,0.4,0.64,0.2,0.11,0.66,0.71,0.75,0.21,0.88,0.55,0.33,0.18,0.08,0.03,,
